########## Scenario Component Metadata ##########
#Scenario component type: Pollutant Tax/Cap
#Measure: Emission Cap (Mt)
#Pollutant: CO2 (MT C)
#Sector: Industry-All
#Policy name: Cap_Industry-All_CO2_MN1753295989927
#Market name: Cap_Industry-All_CO2_MN_Mkt1753295989927
#Regions: MN
#Table data:2030    , 40
#Table data:2040    , 22
#Table data:2047    , 12
#Table data:2057    , 2
#################################################
INPUT_TABLE
Variable ID
GLIMPSEEmissionCap

region,pollutant,market,year,cap
MN,Cap_Industry-All_CO2_MN_Mkt1753295989927,Cap_Industry-All_CO2_MN_Mkt1753295989927,2030,40
MN,Cap_Industry-All_CO2_MN_Mkt1753295989927,Cap_Industry-All_CO2_MN_Mkt1753295989927,2040,22
MN,Cap_Industry-All_CO2_MN_Mkt1753295989927,Cap_Industry-All_CO2_MN_Mkt1753295989927,2047,12
MN,Cap_Industry-All_CO2_MN_Mkt1753295989927,Cap_Industry-All_CO2_MN_Mkt1753295989927,2057,2

INPUT_TABLE
Variable ID
GLIMPSEAddCO2Subspecies

region,supplysector,subsector,technology,year,pollutant
MN,other industrial energy use,coal,coal cogen,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal cogen,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal cogen,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal cogen,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal cogen,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal cogen,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal cogen,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal cogen,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal cogen,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,district heat,district heat,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,district heat,district heat,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,district heat,district heat,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,district heat,district heat,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,district heat,district heat,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,district heat,district heat,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,district heat,district heat,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,district heat,district heat,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,district heat,district heat,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,district heat,district heat,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,electricity,electricity,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,electricity,electricity,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,electricity,electricity,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,electricity,electricity,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,electricity,electricity,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,electricity,electricity,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,electricity,electricity,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,electricity,electricity,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,electricity,electricity,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,electricity,electricity,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas cogen,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas cogen,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas cogen,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas cogen,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas cogen,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas cogen,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas cogen,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas cogen,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas cogen,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,gas,gas cogen,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen cogen,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen cogen,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen cogen,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen cogen,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen cogen,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen cogen,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen cogen,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen cogen,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen cogen,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,hydrogen,hydrogen cogen,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids cogen,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids cogen,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids cogen,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids cogen,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids cogen,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids cogen,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids cogen,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids cogen,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids cogen,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,refined liquids,refined liquids cogen,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,coal,coal,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,coal,coal,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,coal,coal,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,coal,coal,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,coal,coal,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,coal,coal,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,coal,coal,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,coal,coal,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,coal,coal,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,coal,coal,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,gas,gas,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,gas,gas,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,gas,gas,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,gas,gas,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,gas,gas,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,gas,gas,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,gas,gas,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,gas,gas,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,gas,gas,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,gas,gas,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,refined liquids,refined liquids,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,refined liquids,refined liquids,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,refined liquids,refined liquids,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,refined liquids,refined liquids,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,refined liquids,refined liquids,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,refined liquids,refined liquids,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,refined liquids,refined liquids,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,refined liquids,refined liquids,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,refined liquids,refined liquids,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial feedstocks,refined liquids,refined liquids,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,cement,cement,cement CCS,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,biomass,biomass,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,biomass,biomass,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,biomass,biomass,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,biomass,biomass,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,biomass,biomass,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,biomass,biomass,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,biomass,biomass,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,biomass,biomass,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,biomass,biomass,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,biomass,biomass,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,coal,coal,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,coal,coal,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,coal,coal,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,coal,coal,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,coal,coal,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,coal,coal,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,coal,coal,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,coal,coal,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,coal,coal,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,coal,coal,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,gas,gas,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,gas,gas,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,gas,gas,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,gas,gas,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,gas,gas,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,gas,gas,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,gas,gas,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,gas,gas,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,gas,gas,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,gas,gas,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,refined liquids,refined liquids,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,refined liquids,refined liquids,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,refined liquids,refined liquids,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,refined liquids,refined liquids,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,refined liquids,refined liquids,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,refined liquids,refined liquids,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,refined liquids,refined liquids,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,refined liquids,refined liquids,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,refined liquids,refined liquids,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,refined liquids,refined liquids,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,hydrogen,hydrogen,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,hydrogen,hydrogen,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,hydrogen,hydrogen,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,hydrogen,hydrogen,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,hydrogen,hydrogen,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,hydrogen,hydrogen,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,hydrogen,hydrogen,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,hydrogen,hydrogen,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,hydrogen,hydrogen,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,process heat cement,hydrogen,hydrogen,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industry,other industry,other industry,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industry,other industry,other industry,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industry,other industry,other industry,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industry,other industry,other industry,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industry,other industry,other industry,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
