########## Scenario Component Metadata ##########
#Scenario component type: Tech Param
#Sector: refining
#Technologies: refining : biomass liquids : BTL with hydrogen : EJ;refining : biomass liquids : cellulosic ethanol : EJ;refining : biomass liquids : cellulosic ethanol CCS level 1 : EJ;refining : biomass liquids : cellulosic ethanol CCS level 2 : EJ;refining : biomass liquids : FT biofuels : EJ;refining : biomass liquids : FT biofuels CCS level 1 : EJ;refining : biomass liquids : FT biofuels CCS level 2 : EJ;refining : coal to liquids : coal to liquids : EJ;refining : coal to liquids : coal to liquids CCS level 1 : EJ;refining : coal to liquids : coal to liquids CCS level 2 : EJ;refining : gas to liquids : gas to liquids : EJ;refining : gas to liquids : gas to liquids CCS level 1 : EJ;refining : gas to liquids : gas to liquids CCS level 2 : EJ;
#Parameter: Shareweight
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
#Table data:2020 , 0.0100
#Table data:2025 , 0.0167
#Table data:2030 , 0.0233
#Table data:2035 , 0.0300
#Table data:2040 , 0.0367
#Table data:2045 , 0.0433
#Table data:2050 , 0.0500
#################################################
INPUT_TABLE
Variable ID
GLIMPSEStubTechShrwt

region,sector,subsector1=>subsector2,technology,year,data
CA,refining,biomass liquids,BTL with hydrogen,2025,0.0167
CA,refining,biomass liquids,BTL with hydrogen,2030,0.0233
CA,refining,biomass liquids,BTL with hydrogen,2035,0.0300
CA,refining,biomass liquids,BTL with hydrogen,2040,0.0367
CA,refining,biomass liquids,BTL with hydrogen,2045,0.0433
CA,refining,biomass liquids,BTL with hydrogen,2050,0.0500
CO,refining,biomass liquids,BTL with hydrogen,2020,0.0100
CO,refining,biomass liquids,BTL with hydrogen,2025,0.0167
CO,refining,biomass liquids,BTL with hydrogen,2030,0.0233
CO,refining,biomass liquids,BTL with hydrogen,2035,0.0300
CO,refining,biomass liquids,BTL with hydrogen,2040,0.0367
CO,refining,biomass liquids,BTL with hydrogen,2045,0.0433
CO,refining,biomass liquids,BTL with hydrogen,2050,0.0500
CT,refining,biomass liquids,BTL with hydrogen,2020,0.0100
CT,refining,biomass liquids,BTL with hydrogen,2025,0.0167
CT,refining,biomass liquids,BTL with hydrogen,2030,0.0233
CT,refining,biomass liquids,BTL with hydrogen,2035,0.0300
CT,refining,biomass liquids,BTL with hydrogen,2040,0.0367
CT,refining,biomass liquids,BTL with hydrogen,2045,0.0433
CT,refining,biomass liquids,BTL with hydrogen,2050,0.0500
DC,refining,biomass liquids,BTL with hydrogen,2020,0.0100
DC,refining,biomass liquids,BTL with hydrogen,2025,0.0167
DC,refining,biomass liquids,BTL with hydrogen,2030,0.0233
DC,refining,biomass liquids,BTL with hydrogen,2035,0.0300
DC,refining,biomass liquids,BTL with hydrogen,2040,0.0367
DC,refining,biomass liquids,BTL with hydrogen,2045,0.0433
DC,refining,biomass liquids,BTL with hydrogen,2050,0.0500
DE,refining,biomass liquids,BTL with hydrogen,2020,0.0100
DE,refining,biomass liquids,BTL with hydrogen,2025,0.0167
DE,refining,biomass liquids,BTL with hydrogen,2030,0.0233
DE,refining,biomass liquids,BTL with hydrogen,2035,0.0300
DE,refining,biomass liquids,BTL with hydrogen,2040,0.0367
DE,refining,biomass liquids,BTL with hydrogen,2045,0.0433
DE,refining,biomass liquids,BTL with hydrogen,2050,0.0500
FL,refining,biomass liquids,BTL with hydrogen,2020,0.0100
FL,refining,biomass liquids,BTL with hydrogen,2025,0.0167
FL,refining,biomass liquids,BTL with hydrogen,2030,0.0233
FL,refining,biomass liquids,BTL with hydrogen,2035,0.0300
FL,refining,biomass liquids,BTL with hydrogen,2040,0.0367
FL,refining,biomass liquids,BTL with hydrogen,2045,0.0433
FL,refining,biomass liquids,BTL with hydrogen,2050,0.0500
GA,refining,biomass liquids,BTL with hydrogen,2020,0.0100
GA,refining,biomass liquids,BTL with hydrogen,2025,0.0167
GA,refining,biomass liquids,BTL with hydrogen,2030,0.0233
GA,refining,biomass liquids,BTL with hydrogen,2035,0.0300
GA,refining,biomass liquids,BTL with hydrogen,2040,0.0367
GA,refining,biomass liquids,BTL with hydrogen,2045,0.0433
GA,refining,biomass liquids,BTL with hydrogen,2050,0.0500
HI,refining,biomass liquids,BTL with hydrogen,2020,0.0100
HI,refining,biomass liquids,BTL with hydrogen,2025,0.0167
HI,refining,biomass liquids,BTL with hydrogen,2030,0.0233
HI,refining,biomass liquids,BTL with hydrogen,2035,0.0300
HI,refining,biomass liquids,BTL with hydrogen,2040,0.0367
HI,refining,biomass liquids,BTL with hydrogen,2045,0.0433
HI,refining,biomass liquids,BTL with hydrogen,2050,0.0500
IA,refining,biomass liquids,BTL with hydrogen,2020,0.0100
IA,refining,biomass liquids,BTL with hydrogen,2025,0.0167
IA,refining,biomass liquids,BTL with hydrogen,2030,0.0233
IA,refining,biomass liquids,BTL with hydrogen,2035,0.0300
IA,refining,biomass liquids,BTL with hydrogen,2040,0.0367
IA,refining,biomass liquids,BTL with hydrogen,2045,0.0433
IA,refining,biomass liquids,BTL with hydrogen,2050,0.0500
ID,refining,biomass liquids,BTL with hydrogen,2020,0.0100
ID,refining,biomass liquids,BTL with hydrogen,2025,0.0167
ID,refining,biomass liquids,BTL with hydrogen,2030,0.0233
ID,refining,biomass liquids,BTL with hydrogen,2035,0.0300
ID,refining,biomass liquids,BTL with hydrogen,2040,0.0367
ID,refining,biomass liquids,BTL with hydrogen,2045,0.0433
ID,refining,biomass liquids,BTL with hydrogen,2050,0.0500
IL,refining,biomass liquids,BTL with hydrogen,2020,0.0100
IL,refining,biomass liquids,BTL with hydrogen,2025,0.0167
IL,refining,biomass liquids,BTL with hydrogen,2030,0.0233
IL,refining,biomass liquids,BTL with hydrogen,2035,0.0300
IL,refining,biomass liquids,BTL with hydrogen,2040,0.0367
IL,refining,biomass liquids,BTL with hydrogen,2045,0.0433
IL,refining,biomass liquids,BTL with hydrogen,2050,0.0500
IN,refining,biomass liquids,BTL with hydrogen,2020,0.0100
IN,refining,biomass liquids,BTL with hydrogen,2025,0.0167
IN,refining,biomass liquids,BTL with hydrogen,2030,0.0233
IN,refining,biomass liquids,BTL with hydrogen,2035,0.0300
IN,refining,biomass liquids,BTL with hydrogen,2040,0.0367
IN,refining,biomass liquids,BTL with hydrogen,2045,0.0433
IN,refining,biomass liquids,BTL with hydrogen,2050,0.0500
KS,refining,biomass liquids,BTL with hydrogen,2020,0.0100
KS,refining,biomass liquids,BTL with hydrogen,2025,0.0167
KS,refining,biomass liquids,BTL with hydrogen,2030,0.0233
KS,refining,biomass liquids,BTL with hydrogen,2035,0.0300
KS,refining,biomass liquids,BTL with hydrogen,2040,0.0367
KS,refining,biomass liquids,BTL with hydrogen,2045,0.0433
KS,refining,biomass liquids,BTL with hydrogen,2050,0.0500
KY,refining,biomass liquids,BTL with hydrogen,2020,0.0100
KY,refining,biomass liquids,BTL with hydrogen,2025,0.0167
KY,refining,biomass liquids,BTL with hydrogen,2030,0.0233
KY,refining,biomass liquids,BTL with hydrogen,2035,0.0300
KY,refining,biomass liquids,BTL with hydrogen,2040,0.0367
KY,refining,biomass liquids,BTL with hydrogen,2045,0.0433
KY,refining,biomass liquids,BTL with hydrogen,2050,0.0500
LA,refining,biomass liquids,BTL with hydrogen,2020,0.0100
LA,refining,biomass liquids,BTL with hydrogen,2025,0.0167
LA,refining,biomass liquids,BTL with hydrogen,2030,0.0233
LA,refining,biomass liquids,BTL with hydrogen,2035,0.0300
LA,refining,biomass liquids,BTL with hydrogen,2040,0.0367
LA,refining,biomass liquids,BTL with hydrogen,2045,0.0433
LA,refining,biomass liquids,BTL with hydrogen,2050,0.0500
MA,refining,biomass liquids,BTL with hydrogen,2020,0.0100
MA,refining,biomass liquids,BTL with hydrogen,2025,0.0167
MA,refining,biomass liquids,BTL with hydrogen,2030,0.0233
MA,refining,biomass liquids,BTL with hydrogen,2035,0.0300
MA,refining,biomass liquids,BTL with hydrogen,2040,0.0367
MA,refining,biomass liquids,BTL with hydrogen,2045,0.0433
MA,refining,biomass liquids,BTL with hydrogen,2050,0.0500
MD,refining,biomass liquids,BTL with hydrogen,2020,0.0100
MD,refining,biomass liquids,BTL with hydrogen,2025,0.0167
MD,refining,biomass liquids,BTL with hydrogen,2030,0.0233
MD,refining,biomass liquids,BTL with hydrogen,2035,0.0300
MD,refining,biomass liquids,BTL with hydrogen,2040,0.0367
MD,refining,biomass liquids,BTL with hydrogen,2045,0.0433
MD,refining,biomass liquids,BTL with hydrogen,2050,0.0500
ME,refining,biomass liquids,BTL with hydrogen,2020,0.0100
ME,refining,biomass liquids,BTL with hydrogen,2025,0.0167
ME,refining,biomass liquids,BTL with hydrogen,2030,0.0233
ME,refining,biomass liquids,BTL with hydrogen,2035,0.0300
ME,refining,biomass liquids,BTL with hydrogen,2040,0.0367
ME,refining,biomass liquids,BTL with hydrogen,2045,0.0433
ME,refining,biomass liquids,BTL with hydrogen,2050,0.0500
MI,refining,biomass liquids,BTL with hydrogen,2020,0.0100
MI,refining,biomass liquids,BTL with hydrogen,2025,0.0167
MI,refining,biomass liquids,BTL with hydrogen,2030,0.0233
MI,refining,biomass liquids,BTL with hydrogen,2035,0.0300
MI,refining,biomass liquids,BTL with hydrogen,2040,0.0367
MI,refining,biomass liquids,BTL with hydrogen,2045,0.0433
MI,refining,biomass liquids,BTL with hydrogen,2050,0.0500
MN,refining,biomass liquids,BTL with hydrogen,2020,0.0100
MN,refining,biomass liquids,BTL with hydrogen,2025,0.0167
MN,refining,biomass liquids,BTL with hydrogen,2030,0.0233
MN,refining,biomass liquids,BTL with hydrogen,2035,0.0300
MN,refining,biomass liquids,BTL with hydrogen,2040,0.0367
MN,refining,biomass liquids,BTL with hydrogen,2045,0.0433
MN,refining,biomass liquids,BTL with hydrogen,2050,0.0500
MO,refining,biomass liquids,BTL with hydrogen,2020,0.0100
MO,refining,biomass liquids,BTL with hydrogen,2025,0.0167
MO,refining,biomass liquids,BTL with hydrogen,2030,0.0233
MO,refining,biomass liquids,BTL with hydrogen,2035,0.0300
MO,refining,biomass liquids,BTL with hydrogen,2040,0.0367
MO,refining,biomass liquids,BTL with hydrogen,2045,0.0433
MO,refining,biomass liquids,BTL with hydrogen,2050,0.0500
MS,refining,biomass liquids,BTL with hydrogen,2020,0.0100
MS,refining,biomass liquids,BTL with hydrogen,2025,0.0167
MS,refining,biomass liquids,BTL with hydrogen,2030,0.0233
MS,refining,biomass liquids,BTL with hydrogen,2035,0.0300
MS,refining,biomass liquids,BTL with hydrogen,2040,0.0367
MS,refining,biomass liquids,BTL with hydrogen,2045,0.0433
MS,refining,biomass liquids,BTL with hydrogen,2050,0.0500
MT,refining,biomass liquids,BTL with hydrogen,2020,0.0100
MT,refining,biomass liquids,BTL with hydrogen,2025,0.0167
MT,refining,biomass liquids,BTL with hydrogen,2030,0.0233
MT,refining,biomass liquids,BTL with hydrogen,2035,0.0300
MT,refining,biomass liquids,BTL with hydrogen,2040,0.0367
MT,refining,biomass liquids,BTL with hydrogen,2045,0.0433
MT,refining,biomass liquids,BTL with hydrogen,2050,0.0500
NC,refining,biomass liquids,BTL with hydrogen,2020,0.0100
NC,refining,biomass liquids,BTL with hydrogen,2025,0.0167
NC,refining,biomass liquids,BTL with hydrogen,2030,0.0233
NC,refining,biomass liquids,BTL with hydrogen,2035,0.0300
NC,refining,biomass liquids,BTL with hydrogen,2040,0.0367
NC,refining,biomass liquids,BTL with hydrogen,2045,0.0433
NC,refining,biomass liquids,BTL with hydrogen,2050,0.0500
ND,refining,biomass liquids,BTL with hydrogen,2020,0.0100
ND,refining,biomass liquids,BTL with hydrogen,2025,0.0167
ND,refining,biomass liquids,BTL with hydrogen,2030,0.0233
ND,refining,biomass liquids,BTL with hydrogen,2035,0.0300
ND,refining,biomass liquids,BTL with hydrogen,2040,0.0367
ND,refining,biomass liquids,BTL with hydrogen,2045,0.0433
ND,refining,biomass liquids,BTL with hydrogen,2050,0.0500
NE,refining,biomass liquids,BTL with hydrogen,2020,0.0100
NE,refining,biomass liquids,BTL with hydrogen,2025,0.0167
NE,refining,biomass liquids,BTL with hydrogen,2030,0.0233
NE,refining,biomass liquids,BTL with hydrogen,2035,0.0300
NE,refining,biomass liquids,BTL with hydrogen,2040,0.0367
NE,refining,biomass liquids,BTL with hydrogen,2045,0.0433
NE,refining,biomass liquids,BTL with hydrogen,2050,0.0500
NH,refining,biomass liquids,BTL with hydrogen,2020,0.0100
NH,refining,biomass liquids,BTL with hydrogen,2025,0.0167
NH,refining,biomass liquids,BTL with hydrogen,2030,0.0233
NH,refining,biomass liquids,BTL with hydrogen,2035,0.0300
NH,refining,biomass liquids,BTL with hydrogen,2040,0.0367
NH,refining,biomass liquids,BTL with hydrogen,2045,0.0433
NH,refining,biomass liquids,BTL with hydrogen,2050,0.0500
NJ,refining,biomass liquids,BTL with hydrogen,2020,0.0100
NJ,refining,biomass liquids,BTL with hydrogen,2025,0.0167
NJ,refining,biomass liquids,BTL with hydrogen,2030,0.0233
NJ,refining,biomass liquids,BTL with hydrogen,2035,0.0300
NJ,refining,biomass liquids,BTL with hydrogen,2040,0.0367
NJ,refining,biomass liquids,BTL with hydrogen,2045,0.0433
NJ,refining,biomass liquids,BTL with hydrogen,2050,0.0500
NM,refining,biomass liquids,BTL with hydrogen,2020,0.0100
NM,refining,biomass liquids,BTL with hydrogen,2025,0.0167
NM,refining,biomass liquids,BTL with hydrogen,2030,0.0233
NM,refining,biomass liquids,BTL with hydrogen,2035,0.0300
NM,refining,biomass liquids,BTL with hydrogen,2040,0.0367
NM,refining,biomass liquids,BTL with hydrogen,2045,0.0433
NM,refining,biomass liquids,BTL with hydrogen,2050,0.0500
NV,refining,biomass liquids,BTL with hydrogen,2020,0.0100
NV,refining,biomass liquids,BTL with hydrogen,2025,0.0167
NV,refining,biomass liquids,BTL with hydrogen,2030,0.0233
NV,refining,biomass liquids,BTL with hydrogen,2035,0.0300
NV,refining,biomass liquids,BTL with hydrogen,2040,0.0367
NV,refining,biomass liquids,BTL with hydrogen,2045,0.0433
NV,refining,biomass liquids,BTL with hydrogen,2050,0.0500
NY,refining,biomass liquids,BTL with hydrogen,2020,0.0100
NY,refining,biomass liquids,BTL with hydrogen,2025,0.0167
NY,refining,biomass liquids,BTL with hydrogen,2030,0.0233
NY,refining,biomass liquids,BTL with hydrogen,2035,0.0300
NY,refining,biomass liquids,BTL with hydrogen,2040,0.0367
NY,refining,biomass liquids,BTL with hydrogen,2045,0.0433
NY,refining,biomass liquids,BTL with hydrogen,2050,0.0500
OH,refining,biomass liquids,BTL with hydrogen,2020,0.0100
OH,refining,biomass liquids,BTL with hydrogen,2025,0.0167
OH,refining,biomass liquids,BTL with hydrogen,2030,0.0233
OH,refining,biomass liquids,BTL with hydrogen,2035,0.0300
OH,refining,biomass liquids,BTL with hydrogen,2040,0.0367
OH,refining,biomass liquids,BTL with hydrogen,2045,0.0433
OH,refining,biomass liquids,BTL with hydrogen,2050,0.0500
OK,refining,biomass liquids,BTL with hydrogen,2020,0.0100
OK,refining,biomass liquids,BTL with hydrogen,2025,0.0167
OK,refining,biomass liquids,BTL with hydrogen,2030,0.0233
OK,refining,biomass liquids,BTL with hydrogen,2035,0.0300
OK,refining,biomass liquids,BTL with hydrogen,2040,0.0367
OK,refining,biomass liquids,BTL with hydrogen,2045,0.0433
OK,refining,biomass liquids,BTL with hydrogen,2050,0.0500
OR,refining,biomass liquids,BTL with hydrogen,2020,0.0100
OR,refining,biomass liquids,BTL with hydrogen,2025,0.0167
OR,refining,biomass liquids,BTL with hydrogen,2030,0.0233
OR,refining,biomass liquids,BTL with hydrogen,2035,0.0300
OR,refining,biomass liquids,BTL with hydrogen,2040,0.0367
OR,refining,biomass liquids,BTL with hydrogen,2045,0.0433
OR,refining,biomass liquids,BTL with hydrogen,2050,0.0500
PA,refining,biomass liquids,BTL with hydrogen,2020,0.0100
PA,refining,biomass liquids,BTL with hydrogen,2025,0.0167
PA,refining,biomass liquids,BTL with hydrogen,2030,0.0233
PA,refining,biomass liquids,BTL with hydrogen,2035,0.0300
PA,refining,biomass liquids,BTL with hydrogen,2040,0.0367
PA,refining,biomass liquids,BTL with hydrogen,2045,0.0433
PA,refining,biomass liquids,BTL with hydrogen,2050,0.0500
RI,refining,biomass liquids,BTL with hydrogen,2020,0.0100
RI,refining,biomass liquids,BTL with hydrogen,2025,0.0167
RI,refining,biomass liquids,BTL with hydrogen,2030,0.0233
RI,refining,biomass liquids,BTL with hydrogen,2035,0.0300
RI,refining,biomass liquids,BTL with hydrogen,2040,0.0367
RI,refining,biomass liquids,BTL with hydrogen,2045,0.0433
RI,refining,biomass liquids,BTL with hydrogen,2050,0.0500
SC,refining,biomass liquids,BTL with hydrogen,2020,0.0100
SC,refining,biomass liquids,BTL with hydrogen,2025,0.0167
SC,refining,biomass liquids,BTL with hydrogen,2030,0.0233
SC,refining,biomass liquids,BTL with hydrogen,2035,0.0300
SC,refining,biomass liquids,BTL with hydrogen,2040,0.0367
SC,refining,biomass liquids,BTL with hydrogen,2045,0.0433
SC,refining,biomass liquids,BTL with hydrogen,2050,0.0500
SD,refining,biomass liquids,BTL with hydrogen,2020,0.0100
SD,refining,biomass liquids,BTL with hydrogen,2025,0.0167
SD,refining,biomass liquids,BTL with hydrogen,2030,0.0233
SD,refining,biomass liquids,BTL with hydrogen,2035,0.0300
SD,refining,biomass liquids,BTL with hydrogen,2040,0.0367
SD,refining,biomass liquids,BTL with hydrogen,2045,0.0433
SD,refining,biomass liquids,BTL with hydrogen,2050,0.0500
TN,refining,biomass liquids,BTL with hydrogen,2020,0.0100
TN,refining,biomass liquids,BTL with hydrogen,2025,0.0167
TN,refining,biomass liquids,BTL with hydrogen,2030,0.0233
TN,refining,biomass liquids,BTL with hydrogen,2035,0.0300
TN,refining,biomass liquids,BTL with hydrogen,2040,0.0367
TN,refining,biomass liquids,BTL with hydrogen,2045,0.0433
TN,refining,biomass liquids,BTL with hydrogen,2050,0.0500
TX,refining,biomass liquids,BTL with hydrogen,2020,0.0100
TX,refining,biomass liquids,BTL with hydrogen,2025,0.0167
TX,refining,biomass liquids,BTL with hydrogen,2030,0.0233
TX,refining,biomass liquids,BTL with hydrogen,2035,0.0300
TX,refining,biomass liquids,BTL with hydrogen,2040,0.0367
TX,refining,biomass liquids,BTL with hydrogen,2045,0.0433
TX,refining,biomass liquids,BTL with hydrogen,2050,0.0500
UT,refining,biomass liquids,BTL with hydrogen,2020,0.0100
UT,refining,biomass liquids,BTL with hydrogen,2025,0.0167
UT,refining,biomass liquids,BTL with hydrogen,2030,0.0233
UT,refining,biomass liquids,BTL with hydrogen,2035,0.0300
UT,refining,biomass liquids,BTL with hydrogen,2040,0.0367
UT,refining,biomass liquids,BTL with hydrogen,2045,0.0433
UT,refining,biomass liquids,BTL with hydrogen,2050,0.0500
VA,refining,biomass liquids,BTL with hydrogen,2020,0.0100
VA,refining,biomass liquids,BTL with hydrogen,2025,0.0167
VA,refining,biomass liquids,BTL with hydrogen,2030,0.0233
VA,refining,biomass liquids,BTL with hydrogen,2035,0.0300
VA,refining,biomass liquids,BTL with hydrogen,2040,0.0367
VA,refining,biomass liquids,BTL with hydrogen,2045,0.0433
VA,refining,biomass liquids,BTL with hydrogen,2050,0.0500
VT,refining,biomass liquids,BTL with hydrogen,2020,0.0100
VT,refining,biomass liquids,BTL with hydrogen,2025,0.0167
VT,refining,biomass liquids,BTL with hydrogen,2030,0.0233
VT,refining,biomass liquids,BTL with hydrogen,2035,0.0300
VT,refining,biomass liquids,BTL with hydrogen,2040,0.0367
VT,refining,biomass liquids,BTL with hydrogen,2045,0.0433
VT,refining,biomass liquids,BTL with hydrogen,2050,0.0500
WA,refining,biomass liquids,BTL with hydrogen,2020,0.0100
WA,refining,biomass liquids,BTL with hydrogen,2025,0.0167
WA,refining,biomass liquids,BTL with hydrogen,2030,0.0233
WA,refining,biomass liquids,BTL with hydrogen,2035,0.0300
WA,refining,biomass liquids,BTL with hydrogen,2040,0.0367
WA,refining,biomass liquids,BTL with hydrogen,2045,0.0433
WA,refining,biomass liquids,BTL with hydrogen,2050,0.0500
WI,refining,biomass liquids,BTL with hydrogen,2020,0.0100
WI,refining,biomass liquids,BTL with hydrogen,2025,0.0167
WI,refining,biomass liquids,BTL with hydrogen,2030,0.0233
WI,refining,biomass liquids,BTL with hydrogen,2035,0.0300
WI,refining,biomass liquids,BTL with hydrogen,2040,0.0367
WI,refining,biomass liquids,BTL with hydrogen,2045,0.0433
WI,refining,biomass liquids,BTL with hydrogen,2050,0.0500
WV,refining,biomass liquids,BTL with hydrogen,2020,0.0100
WV,refining,biomass liquids,BTL with hydrogen,2025,0.0167
WV,refining,biomass liquids,BTL with hydrogen,2030,0.0233
WV,refining,biomass liquids,BTL with hydrogen,2035,0.0300
WV,refining,biomass liquids,BTL with hydrogen,2040,0.0367
WV,refining,biomass liquids,BTL with hydrogen,2045,0.0433
WV,refining,biomass liquids,BTL with hydrogen,2050,0.0500
WY,refining,biomass liquids,BTL with hydrogen,2020,0.0100
WY,refining,biomass liquids,BTL with hydrogen,2025,0.0167
WY,refining,biomass liquids,BTL with hydrogen,2030,0.0233
WY,refining,biomass liquids,BTL with hydrogen,2035,0.0300
WY,refining,biomass liquids,BTL with hydrogen,2040,0.0367
WY,refining,biomass liquids,BTL with hydrogen,2045,0.0433
WY,refining,biomass liquids,BTL with hydrogen,2050,0.0500

INPUT_TABLE
Variable ID
GLIMPSEStubTechShrwt

region,sector,subsector1=>subsector2,technology,year,data
AK,refining,biomass liquids,cellulosic ethanol,2020,0.0100
AK,refining,biomass liquids,cellulosic ethanol,2025,0.0167
AK,refining,biomass liquids,cellulosic ethanol,2030,0.0233
AK,refining,biomass liquids,cellulosic ethanol,2035,0.0300
AK,refining,biomass liquids,cellulosic ethanol,2040,0.0367
AK,refining,biomass liquids,cellulosic ethanol,2045,0.0433
AK,refining,biomass liquids,cellulosic ethanol,2050,0.0500
AL,refining,biomass liquids,cellulosic ethanol,2020,0.0100
AL,refining,biomass liquids,cellulosic ethanol,2025,0.0167
AL,refining,biomass liquids,cellulosic ethanol,2030,0.0233
AL,refining,biomass liquids,cellulosic ethanol,2035,0.0300
AL,refining,biomass liquids,cellulosic ethanol,2040,0.0367
AL,refining,biomass liquids,cellulosic ethanol,2045,0.0433
AL,refining,biomass liquids,cellulosic ethanol,2050,0.0500
AR,refining,biomass liquids,cellulosic ethanol,2020,0.0100
AR,refining,biomass liquids,cellulosic ethanol,2025,0.0167
AR,refining,biomass liquids,cellulosic ethanol,2030,0.0233
AR,refining,biomass liquids,cellulosic ethanol,2035,0.0300
AR,refining,biomass liquids,cellulosic ethanol,2040,0.0367
AR,refining,biomass liquids,cellulosic ethanol,2045,0.0433
AR,refining,biomass liquids,cellulosic ethanol,2050,0.0500
AZ,refining,biomass liquids,cellulosic ethanol,2020,0.0100
AZ,refining,biomass liquids,cellulosic ethanol,2025,0.0167
AZ,refining,biomass liquids,cellulosic ethanol,2030,0.0233
AZ,refining,biomass liquids,cellulosic ethanol,2035,0.0300
AZ,refining,biomass liquids,cellulosic ethanol,2040,0.0367
AZ,refining,biomass liquids,cellulosic ethanol,2045,0.0433
AZ,refining,biomass liquids,cellulosic ethanol,2050,0.0500
CA,refining,biomass liquids,cellulosic ethanol,2020,0.0100
CA,refining,biomass liquids,cellulosic ethanol,2025,0.0167
CA,refining,biomass liquids,cellulosic ethanol,2030,0.0233
CA,refining,biomass liquids,cellulosic ethanol,2035,0.0300
CA,refining,biomass liquids,cellulosic ethanol,2040,0.0367
CA,refining,biomass liquids,cellulosic ethanol,2045,0.0433
CA,refining,biomass liquids,cellulosic ethanol,2050,0.0500
CO,refining,biomass liquids,cellulosic ethanol,2020,0.0100
CO,refining,biomass liquids,cellulosic ethanol,2025,0.0167
CO,refining,biomass liquids,cellulosic ethanol,2030,0.0233
CO,refining,biomass liquids,cellulosic ethanol,2035,0.0300
CO,refining,biomass liquids,cellulosic ethanol,2040,0.0367
CO,refining,biomass liquids,cellulosic ethanol,2045,0.0433
CO,refining,biomass liquids,cellulosic ethanol,2050,0.0500
CT,refining,biomass liquids,cellulosic ethanol,2020,0.0100
CT,refining,biomass liquids,cellulosic ethanol,2025,0.0167
CT,refining,biomass liquids,cellulosic ethanol,2030,0.0233
