INPUT_TABLE
Variable ID
GLIMPSEPFStdTechUpBoundP2

region,policy-name,market,type,constraint-yr,constraint-val
AR,AR_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AR_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
AZ,AZ_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AZ_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
AZ,AZ_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AZ_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
AZ,AZ_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AZ_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
AZ,AZ_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AZ_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
AZ,AZ_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AZ_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
AZ,AZ_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AZ_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
AZ,AZ_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AZ_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
CA,CA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
CA,CA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
CA,CA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
CA,CA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
CA,CA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
CA,CA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
CA,CA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
CO,CO_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CO_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
CO,CO_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CO_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
CO,CO_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CO_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
CO,CO_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CO_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
CO,CO_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CO_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
CO,CO_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CO_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
CO,CO_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CO_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
CT,CT_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CT_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
CT,CT_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CT_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
CT,CT_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CT_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
CT,CT_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CT_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
CT,CT_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CT_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
CT,CT_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CT_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
CT,CT_Up_Base_load_generation_Tech_Reg_Ea1684416246156,CT_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
DC,DC_Up_Base_load_generation_Tech_Reg_Ea1684416246156,DC_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
DC,DC_Up_Base_load_generation_Tech_Reg_Ea1684416246156,DC_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
DC,DC_Up_Base_load_generation_Tech_Reg_Ea1684416246156,DC_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
DC,DC_Up_Base_load_generation_Tech_Reg_Ea1684416246156,DC_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
DC,DC_Up_Base_load_generation_Tech_Reg_Ea1684416246156,DC_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
DC,DC_Up_Base_load_generation_Tech_Reg_Ea1684416246156,DC_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
DC,DC_Up_Base_load_generation_Tech_Reg_Ea1684416246156,DC_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
DE,DE_Up_Base_load_generation_Tech_Reg_Ea1684416246156,DE_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
DE,DE_Up_Base_load_generation_Tech_Reg_Ea1684416246156,DE_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
DE,DE_Up_Base_load_generation_Tech_Reg_Ea1684416246156,DE_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
DE,DE_Up_Base_load_generation_Tech_Reg_Ea1684416246156,DE_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
DE,DE_Up_Base_load_generation_Tech_Reg_Ea1684416246156,DE_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
DE,DE_Up_Base_load_generation_Tech_Reg_Ea1684416246156,DE_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
DE,DE_Up_Base_load_generation_Tech_Reg_Ea1684416246156,DE_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
FL,FL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,FL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
FL,FL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,FL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
FL,FL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,FL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
FL,FL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,FL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
FL,FL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,FL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
FL,FL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,FL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
FL,FL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,FL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
GA,GA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,GA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
GA,GA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,GA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
GA,GA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,GA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
GA,GA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,GA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
GA,GA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,GA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
GA,GA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,GA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
GA,GA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,GA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
HI,HI_Up_Base_load_generation_Tech_Reg_Ea1684416246156,HI_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
HI,HI_Up_Base_load_generation_Tech_Reg_Ea1684416246156,HI_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
HI,HI_Up_Base_load_generation_Tech_Reg_Ea1684416246156,HI_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
HI,HI_Up_Base_load_generation_Tech_Reg_Ea1684416246156,HI_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
HI,HI_Up_Base_load_generation_Tech_Reg_Ea1684416246156,HI_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
HI,HI_Up_Base_load_generation_Tech_Reg_Ea1684416246156,HI_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
HI,HI_Up_Base_load_generation_Tech_Reg_Ea1684416246156,HI_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
IA,IA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
IA,IA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
IA,IA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
IA,IA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
IA,IA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
IA,IA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
IA,IA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
ID,ID_Up_Base_load_generation_Tech_Reg_Ea1684416246156,ID_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
ID,ID_Up_Base_load_generation_Tech_Reg_Ea1684416246156,ID_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
ID,ID_Up_Base_load_generation_Tech_Reg_Ea1684416246156,ID_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
ID,ID_Up_Base_load_generation_Tech_Reg_Ea1684416246156,ID_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
ID,ID_Up_Base_load_generation_Tech_Reg_Ea1684416246156,ID_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
ID,ID_Up_Base_load_generation_Tech_Reg_Ea1684416246156,ID_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
ID,ID_Up_Base_load_generation_Tech_Reg_Ea1684416246156,ID_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
IL,IL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
IL,IL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
IL,IL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
IL,IL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
IL,IL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
IL,IL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
IL,IL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
IN,IN_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IN_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
IN,IN_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IN_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
IN,IN_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IN_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
IN,IN_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IN_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
IN,IN_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IN_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
IN,IN_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IN_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
IN,IN_Up_Base_load_generation_Tech_Reg_Ea1684416246156,IN_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
KS,KS_Up_Base_load_generation_Tech_Reg_Ea1684416246156,KS_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
KS,KS_Up_Base_load_generation_Tech_Reg_Ea1684416246156,KS_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
KS,KS_Up_Base_load_generation_Tech_Reg_Ea1684416246156,KS_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
KS,KS_Up_Base_load_generation_Tech_Reg_Ea1684416246156,KS_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
KS,KS_Up_Base_load_generation_Tech_Reg_Ea1684416246156,KS_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
KS,KS_Up_Base_load_generation_Tech_Reg_Ea1684416246156,KS_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
KS,KS_Up_Base_load_generation_Tech_Reg_Ea1684416246156,KS_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
KY,KY_Up_Base_load_generation_Tech_Reg_Ea1684416246156,KY_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
KY,KY_Up_Base_load_generation_Tech_Reg_Ea1684416246156,KY_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
KY,KY_Up_Base_load_generation_Tech_Reg_Ea1684416246156,KY_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
KY,KY_Up_Base_load_generation_Tech_Reg_Ea1684416246156,KY_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
KY,KY_Up_Base_load_generation_Tech_Reg_Ea1684416246156,KY_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
KY,KY_Up_Base_load_generation_Tech_Reg_Ea1684416246156,KY_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
KY,KY_Up_Base_load_generation_Tech_Reg_Ea1684416246156,KY_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
LA,LA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,LA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
LA,LA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,LA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
LA,LA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,LA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
LA,LA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,LA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
LA,LA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,LA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
LA,LA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,LA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
LA,LA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,LA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
MA,MA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
MA,MA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
MA,MA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
MA,MA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
MA,MA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
MA,MA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
MA,MA_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MA_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
MD,MD_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MD_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
MD,MD_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MD_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
MD,MD_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MD_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
MD,MD_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MD_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
MD,MD_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MD_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
MD,MD_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MD_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
MD,MD_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MD_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
ME,ME_Up_Base_load_generation_Tech_Reg_Ea1684416246156,ME_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
ME,ME_Up_Base_load_generation_Tech_Reg_Ea1684416246156,ME_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
ME,ME_Up_Base_load_generation_Tech_Reg_Ea1684416246156,ME_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
ME,ME_Up_Base_load_generation_Tech_Reg_Ea1684416246156,ME_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
ME,ME_Up_Base_load_generation_Tech_Reg_Ea1684416246156,ME_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
ME,ME_Up_Base_load_generation_Tech_Reg_Ea1684416246156,ME_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
ME,ME_Up_Base_load_generation_Tech_Reg_Ea1684416246156,ME_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
MI,MI_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MI_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
MI,MI_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MI_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
MI,MI_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MI_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
MI,MI_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MI_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
MI,MI_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MI_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
MI,MI_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MI_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
MI,MI_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MI_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
MN,MN_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MN_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
MN,MN_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MN_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
MN,MN_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MN_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
MN,MN_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MN_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
MN,MN_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MN_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
MN,MN_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MN_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
MN,MN_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MN_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
MO,MO_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MO_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
MO,MO_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MO_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
MO,MO_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MO_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
MO,MO_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MO_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
MO,MO_Up_Base_load_generation_Tech_Reg_Ea1684416246156,MO_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
